"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8057","Cierre sesion exitoso","Cerrar Sesion","2026-08-27","passed","2026-08-27","","","",""
"","7830","Login con OTP exitoso","Login con OTP","2026-08-27","broken","2026-08-27","","","",""
"","5278","Login exitoso","Login","2026-08-27","passed","2026-08-27","","","",""
