"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9923","Login exitoso","Login","2026-08-04","failed","2026-08-04","","","",""
"","11627","Cierre sesion exitoso","Cerrar Sesion","2026-08-04","failed","2026-08-04","","","",""
