"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7991","Login exitoso","","2026-07-29","failed","2026-07-29","","Login","",""
"","8520","Cierre sesion exitoso","","2026-07-29","failed","2026-07-29","","Cerrar Sesion","",""
