"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7848","Login exitoso","Login","2026-07-28","broken","2026-07-28","","","",""
"","10845","Cierre sesion exitoso","Cerrar Sesion","2026-07-28","broken","2026-07-28","","","",""
