"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13665","Login exitoso","Login","2026-08-05","failed","2026-08-05","","","",""
"","12912","Cierre sesion exitoso","Cerrar Sesion","2026-08-05","failed","2026-08-05","","","",""
