"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11216","Cierre sesion exitoso","Cerrar Sesion","2026-07-29","failed","2026-07-29","","","",""
"","9297","Login exitoso","Login","2026-07-29","failed","2026-07-29","","","",""
