"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11092","Cierre sesion exitoso","Cerrar Sesion","2026-07-30","failed","2026-07-30","","","",""
"","9061","Login exitoso","Login","2026-07-30","failed","2026-07-30","","","",""
